,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH
138,2015-03-26,West Africa,Nigeria,Notice,Unknown vessel type,0,Unknown,6.43576444444444,3.3757325,Unknown,1,0,2015,3,13,26,3,2015-03
139,2015-03-26,West Africa,Nigeria,"Failed attack, kidnap/ransom",Tug,0,Off shore,4.23333333333333,7.98333333333333,Evening,1,0,2015,3,13,26,3,2015-03
140,2015-03-26,South East Asia,Malaysia,Suspicious activity at sea,Product tanker,0,Off shore,2.96666666666667,104.71666666666701,Afternoon,1,0,2015,3,13,26,3,2015-03
141,2015-03-27,West Africa,Nigeria,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,6.075,4.875,Unknown,1,0,2015,3,13,27,4,2015-03
142,2015-03-29,South East Asia,Singapore,Theft at sea,Tanker,0,Off shore,1.08333333333333,103.583333333333,Night,1,1,2015,3,13,29,6,2015-03
143,2015-03-29,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.16683333333333,103.444166666667,Night,1,0,2015,3,13,29,6,2015-03
144,2015-03-30,South East Asia,Singapore,Theft at sea,Bulk carrier,0,Off shore,1.4518333333333302,104.663833333333,Morning,1,1,2015,3,14,30,0,2015-03
145,2015-03-30,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.0875,103.567166666667,Night,1,0,2015,3,14,30,0,2015-03
146,2015-03-30,South East Asia,Malaysia,"Failed attack, robbery",Product tanker,0,Off shore,1.0805,103.578833333333,Night,1,0,2015,3,14,30,0,2015-03
147,2015-03-30,South Asia,India,"Failed attack, robbery",Other,0,Anchorage,16.983333333333302,82.3,Night,1,0,2015,3,14,30,0,2015-03
148,2015-03-30,South East Asia,Malaysia,"Failed attack, robbery",Tanker,0,Off shore,1.05383333333333,103.647166666667,Morning,1,0,2015,3,14,30,0,2015-03
149,2015-04-01,South East Asia,Singapore,Theft at sea,Container ship,0,Off shore,1.01883333333333,103.60916666666701,Night,1,1,2015,4,14,1,2,2015-04
150,2015-04-01,Middle East,Yemen,Anti-piracy/naval operation,Bulk carrier,0,Off shore,14.4672055555556,42.6060105555556,Unknown,1,0,2015,4,14,1,2,2015-04
151,2015-04-01,West Africa,Nigeria,"Failed attack, robbery",Container ship,0,Off shore,9.5,-12.3,Night,1,0,2015,4,14,1,2,2015-04
152,2015-04-01,South East Asia,Indonesia,Hijacking at sea,Product tanker,0,Off shore,2.15833333333333,107.538666666667,Evening,1,1,2015,4,14,1,2,2015-04
153,2015-04-02,South East Asia,Singapore,"Failed attack, robbery",Crude oil tanker,0,Off shore,1.05388333333333,103.647216666667,Night,1,0,2015,4,14,2,3,2015-04
